transaction date,district,transaction type,land shifting total area,num_building,num_land,num_garage,total floor number,building state,main building materials,complete year,building shifting total area,num_room,num_bathroom,compartment,management org,carpark type,carpark shifting area,carpark total price,main building area,subsidiary building area,balcony area,elevator,total ntd,unit ntd
2020-01-03,Datong District,Land+Building+Garage,12.99,1,2,1,12.0,Commercial Building,Reinforced Concrete,86.0,90.19,0,0,0,1,Ramp Machinery,0.0,0,61.05,0.0,5.61,1,26000000,288280
2020-01-15,Wanhua District,Land+Building,1.17,1,2,0,5.0,Apartment_5storey,Reinforced Concrete,72.0,5.3,1,1,1,0,No carpark,0.0,0,3.92,0.84,0.0,0,276934,52252
2020-01-15,Wanhua District,Land+Building,1.17,1,2,0,5.0,Apartment_5storey,Reinforced Concrete,72.0,5.3,1,1,1,0,No carpark,0.0,0,3.92,0.84,0.0,0,276934,52252
2020-01-05,Nangang District,Land+Building+Garage,15.68,1,1,1,8.0,Apartment_5to10storey,Reinforced Concrete,97.0,76.28,0,0,0,1,Ramp Machinery,0.0,0,36.5,0.0,7.26,1,15500000,203199
2020-01-05,Beitou District,Land+Building,26.64,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,74.0,104.38,3,2,1,0,No carpark,0.0,0,86.29,0.0,7.16,0,12000000,114965
2020-01-10,Shilin District,Land+Building,32.55,1,4,0,4.0,Apartment_5storey,Reinforced Concrete,68.0,82.48,3,2,1,0,No carpark,0.0,0,72.8,0.0,9.68,0,8783938,106498
2020-01-07,Shilin District,Land+Building+Garage,44.84,1,1,1,7.0,Storefront,Reinforced Concrete,74.0,242.95999999999998,0,0,0,1,Ramp Plane,37.78,0,206.72,21.51,0.0,0,72140000,296921
2020-01-09,Daan District,Land+Building,10.35,1,1,0,12.0,Apartment_11storeyorgreater,Reinforced Concrete,,110.89999999999999,3,2,1,1,No carpark,0.0,0,99.85,0.0,0.0,1,29680000,267628
2020-01-06,Xinyi District,Land+Building,28.75,1,1,0,4.0,Apartment_5storey,Reinforced Concrete,,80.71,3,1,1,0,No carpark,0.0,0,80.71,0.0,0.0,0,14400000,178417
2020-01-03,Beitou District,Land+Building+Garage,36.92,2,1,1,12.0,Other,Reinforced Concrete,97.0,187.83999999999997,3,3,1,1,Ramp Plane,24.62,0,99.53,2.36,7.21,0,20980000,111691
2020-01-04,Beitou District,Land+Building,4.09,1,1,0,14.0,Apartment_11storeyorgreater,Reinforced Concrete,94.0,37.7,1,1,1,1,No carpark,0.0,0,19.64,0.65,3.02,1,5850000,155172
2020-01-09,Shilin District,Land+Building,24.43,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,66.0,85.02,3,1,1,0,No carpark,0.0,0,79.82,0.0,5.2,0,14600000,171724
2020-01-03,Shilin District,Land+Building+Garage,19.71,1,1,1,12.0,Apartment_11storeyorgreater,Reinforced Concrete,75.0,225.76000000000002,3,2,1,1,Ramp Plane,0.0,0,175.53,1.34,14.62,1,33800000,149723
2020-01-01,Shilin District,Land+Building,24.99,1,1,0,7.0,Apartment_5to10storey,Reinforced Concrete,71.0,123.97,3,2,1,1,No carpark,0.0,0,89.02,0.0,22.27,1,30000000,241994
2020-01-20,Beitou District,Land+Building,11.07,1,1,0,10.0,Apartment_5to10storey,Reinforced Concrete,66.0,98.25999999999999,3,1,1,1,No carpark,0.0,0,79.66,0.0,5.8,1,12800000,130267
2020-01-15,Zhongshan District,,1.21,0,0,1,14.0,Other,Reinforced Concrete,80.0,46.2,0,0,1,1,Ramp Plane,46.2,2600000,0.0,0.0,0.0,0,2600000,
2020-01-06,Zhongshan District,Land+Building,29.25,1,3,0,6.0,Apartment_5to10storey,Strengthened Brickwork,,141.52,1,1,1,0,No carpark,0.0,0,141.52,0.0,0.0,1,22397995,158267
2020-01-15,Zhongshan District,Land+Building+Garage,4.7,1,1,1,14.0,Apartment_11storeyorgreater,Reinforced Concrete,92.0,63.03,2,1,1,1,Ramp Machinery,0.0,0,23.02,0.74,3.11,1,10280000,163097
2020-01-01,Xinyi District,Land+Building,3.45,1,6,0,12.0,Suite,Reinforced Concrete,78.0,40.65,1,1,1,1,No carpark,0.0,0,32.08,0.0,0.0,0,9000000,221402
2020-01-01,ZhongZheng District,Land+Building,12.5,2,2,0,14.0,Apartment_11storeyorgreater,Steel Reinforced Concrete,107.0,118.99,2,2,1,1,No carpark,0.0,0,67.7,3.13,4.33,1,52200000,438692
2020-01-03,Datong District,Land+Building,26.0,1,2,0,4.0,Apartment_5storey,Strengthened Brickwork,,90.32,3,1,1,0,No carpark,0.0,0,90.32,0.0,0.0,0,13560000,150133
2020-01-04,Wanhua District,Land+Building+Garage,15.97,1,2,2,18.0,Apartment_11storeyorgreater,Reinforced Concrete,108.0,238.95999999999998,3,2,1,1,Ramp Plane,83.02,4500000,83.97,5.62,13.65,1,36150000,202963
2020-01-14,Datong District,Land+Building+Garage,5.36,1,1,1,12.0,Suite,Reinforced Concrete,93.0,50.879999999999995,1,1,1,1,Lifting Plane,0.0,0,24.11,0.0,0.0,0,6500000,127752
2020-01-10,Wanhua District,Land+Building+Garage,7.81,1,1,1,15.0,Apartment_11storeyorgreater,Reinforced Concrete,101.0,120.97,2,1,1,1,Lifting Plane,0.0,0,58.1,1.79,6.23,1,21500000,177730
2020-01-08,Wanhua District,Land+Building,36.47,1,4,0,14.0,Apartment_11storeyorgreater,Reinforced Concrete,97.0,171.39,0,1,1,1,No carpark,0.0,0,102.57,0.0,0.0,1,32063000,187076
2020-01-01,ZhongZheng District,Land+Building,19.56,1,1,0,10.0,Apartment_5to10storey,Reinforced Concrete,73.0,112.62,3,2,1,1,No carpark,0.0,0,77.95,0.0,11.25,1,15750000,139851
2020-02-03,Wenshan District,Land+Building+Garage,33.64,1,6,1,18.0,Apartment_11storeyorgreater,Other,106.0,197.64999999999998,4,2,1,1,Ramp Machinery,28.9,0,95.46,0.0,14.25,1,27349888,138375
2020-01-07,ZhongZheng District,Land+Building,14.97,1,2,0,14.0,Storefront,Other,108.0,144.45,0,0,0,1,No carpark,0.0,0,82.99,0.0,6.48,0,87160000,603392
2020-01-07,ZhongZheng District,Land+Building,13.17,1,2,0,14.0,Storefront,Other,108.0,126.32,0,0,0,1,No carpark,0.0,0,71.49,0.0,6.57,0,74820000,592305
2020-01-07,ZhongZheng District,Land+Building,7.62,1,2,0,14.0,Apartment_11storeyorgreater,Other,108.0,76.96000000000001,2,1,1,1,No carpark,0.0,0,43.3,3.28,2.27,1,22290000,289631
2020-01-07,ZhongZheng District,Land+Building,6.39,1,2,0,14.0,Apartment_11storeyorgreater,Other,108.0,62.85,2,1,1,1,No carpark,0.0,0,31.79,1.89,6.03,1,17880000,284487
2020-01-21,Wenshan District,,0.31,0,0,1,14.0,Other,Reinforced Concrete,83.0,43.06,0,0,1,1,Ramp Plane,0.0,1300000,0.0,0.0,0.0,0,1300000,
2020-01-04,Wenshan District,Land+Building+Garage,30.06,1,2,1,6.0,Apartment_5to10storey,Reinforced Concrete,82.0,157.43,4,3,1,1,Ramp Plane,40.96,0,111.95,24.58,9.68,1,18180000,115480
2020-01-05,Wenshan District,Land+Building,41.0,1,1,0,4.0,Apartment_5storey,Reinforced Concrete,,107.16,3,2,1,0,No carpark,0.0,0,95.9,0.0,11.26,0,14280000,133259
2020-01-06,Wenshan District,Land+Building+Garage,42.7,1,1,1,11.0,Apartment_11storeyorgreater,Reinforced Concrete,79.0,175.53,2,2,1,1,Ramp Plane,0.0,0,142.72,0.92,11.98,1,20400000,116226
2020-01-13,ZhongZheng District,,0.18,0,0,1,14.0,Other,Other,97.0,46.690000000000005,0,0,1,1,Ramp Plane,46.68,2325000,0.0,0.0,0.0,0,2325000,
2020-01-13,Wanhua District,Land+Building,9.94,1,1,0,19.0,Apartment_11storeyorgreater,Reinforced Concrete,106.0,123.11999999999999,3,2,1,1,No carpark,0.0,0,79.03,2.38,6.05,1,23850000,193713
2020-01-10,Datong District,Land+Building,6.3,1,1,0,7.0,Suite,Reinforced Concrete,84.0,32.9,1,1,1,1,No carpark,0.0,0,17.47,5.47,2.72,0,4900000,148936
